,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
19710,2023-09-14 14:04:19,IF2309,IF2309,3722.0,0.0,0.0,0.0,4,3721.8,3722.0,2,3739.6,3740.0,3750.0,3717.4,48599.0,54456636060.0,53812
19711,2023-09-14 14:04:20,IF2309,IF2309,3721.8,1.0,1116540.0,0.0,3,3721.8,3722.0,2,3739.6,3740.0,3750.0,3717.4,48600.0,54457752600.0,53812
19712,2023-09-14 14:04:20,IF2309,IF2309,3721.8,0.0,0.0,0.0,3,3721.8,3722.0,3,3739.6,3740.0,3750.0,3717.4,48600.0,54457752600.0,53812
19713,2023-09-14 14:04:21,IF2309,IF2309,3722.0,1.0,1116600.0,-1.0,3,3721.8,3722.0,2,3739.6,3740.0,3750.0,3717.4,48601.0,54458869200.0,53811
19714,2023-09-14 14:04:22,IF2309,IF2309,3722.0,2.0,2233200.0,-2.0,4,3721.8,3722.2,1,3739.6,3740.0,3750.0,3717.4,48603.0,54461102400.0,53809
19715,2023-09-14 14:04:22,IF2309,IF2309,3722.2,1.0,1116660.0,0.0,4,3721.8,3722.4,5,3739.6,3740.0,3750.0,3717.4,48604.0,54462219060.0,53809
19716,2023-09-14 14:04:23,IF2309,IF2309,3721.8,1.0,1116540.0,0.0,3,3721.8,3722.4,5,3739.6,3740.0,3750.0,3717.4,48605.0,54463335600.0,53809
19717,2023-09-14 14:04:23,IF2309,IF2309,3722.4,3.0,3350040.0,-1.0,3,3721.8,3722.4,4,3739.6,3740.0,3750.0,3717.4,48608.0,54466685640.0,53808
19718,2023-09-14 14:04:25,IF2309,IF2309,3722.4,1.0,1116720.0,0.0,3,3721.8,3722.4,3,3739.6,3740.0,3750.0,3717.4,48609.0,54467802360.0,53808
19719,2023-09-14 14:04:26,IF2309,IF2309,3722.4,7.0,7816500.0,-6.0,1,3721.6,3722.6,1,3739.6,3740.0,3750.0,3717.4,48616.0,54475618860.0,53802
19720,2023-09-14 14:04:27,IF2309,IF2309,3722.6,1.0,1116780.0,0.0,1,3721.8,3722.6,1,3739.6,3740.0,3750.0,3717.4,48617.0,54476735640.0,53802
19721,2023-09-14 14:04:27,IF2309,IF2309,3722.6,1.0,1116780.0,1.0,2,3721.6,3722.4,3,3739.6,3740.0,3750.0,3717.4,48618.0,54477852420.0,53803
19722,2023-09-14 14:04:28,IF2309,IF2309,3722.6,1.0,1116780.0,0.0,1,3721.8,3722.4,2,3739.6,3740.0,3750.0,3717.4,48619.0,54478969200.0,53803
19723,2023-09-14 14:04:29,IF2309,IF2309,3722.6,0.0,0.0,0.0,2,3721.8,3722.4,2,3739.6,3740.0,3750.0,3717.4,48619.0,54478969200.0,53803
19724,2023-09-14 14:04:29,IF2309,IF2309,3722.6,0.0,0.0,0.0,1,3722.4,3722.6,4,3739.6,3740.0,3750.0,3717.4,48619.0,54478969200.0,53803
19725,2023-09-14 14:04:30,IF2309,IF2309,3722.4,2.0,2233440.0,1.0,2,3721.6,3722.6,4,3739.6,3740.0,3750.0,3717.4,48621.0,54481202640.0,53804
19726,2023-09-14 14:04:30,IF2309,IF2309,3722.4,0.0,0.0,0.0,1,3722.0,3722.6,4,3739.6,3740.0,3750.0,3717.4,48621.0,54481202640.0,53804
19727,2023-09-14 14:04:31,IF2309,IF2309,3722.4,0.0,0.0,0.0,2,3722.0,3722.6,4,3739.6,3740.0,3750.0,3717.4,48621.0,54481202640.0,53804
19728,2023-09-14 14:04:31,IF2309,IF2309,3721.8,3.0,3349740.0,1.0,2,3721.6,3721.8,2,3739.6,3740.0,3750.0,3717.4,48624.0,54484552380.0,53805
19729,2023-09-14 14:04:32,IF2309,IF2309,3722.0,4.0,4466220.0,1.0,2,3721.6,3722.0,18,3739.6,3740.0,3750.0,3717.4,48628.0,54489018600.0,53806
19730,2023-09-14 14:04:32,IF2309,IF2309,3721.8,3.0,3349500.0,0.0,1,3721.4,3721.8,2,3739.6,3740.0,3750.0,3717.4,48631.0,54492368100.0,53806
19731,2023-09-14 14:04:33,IF2309,IF2309,3721.2,3.0,3349140.0,-1.0,1,3720.8,3721.4,2,3739.6,3740.0,3750.0,3717.4,48634.0,54495717240.0,53805
